date,year,month,crop,price_per_q,yield_q_ha,area_ha,rainfall_mm,cost_per_ha,gross_income,net_profit
2021-09-01,2021,9,Groundnut,4417.0,12.95,104740.0,51.9,30632.0,57200.0,26568.0
2021-10-01,2021,10,Groundnut,5461.0,12.5,87280.0,0.0,24494.0,68262.0,43768.0
2021-11-01,2021,11,Groundnut,6427.0,12.94,97361.0,0.0,29513.0,83165.0,53652.0
2021-12-01,2021,12,Groundnut,6312.0,13.46,86439.0,0.0,25174.0,84960.0,59786.0
2022-01-01,2022,1,Groundnut,7021.0,13.58,98738.0,0.0,30493.0,95345.0,64852.0
2022-02-01,2022,2,Groundnut,7498.0,13.29,96038.0,0.0,23660.0,99648.0,75988.0
2022-03-01,2022,3,Groundnut,6877.0,12.91,107193.0,51.0,24493.0,88782.0,64289.0
2022-04-01,2022,4,Groundnut,6507.0,14.14,93773.0,88.8,26910.0,92009.0,65099.0
2022-05-01,2022,5,Groundnut,7006.0,16.11,87927.0,100.5,29944.0,112867.0,82923.0
2022-06-01,2022,6,Groundnut,6158.0,15.27,88575.0,112.1,27938.0,94033.0,66095.0
2022-07-01,2022,7,Groundnut,5534.0,14.24,104038.0,115.4,27329.0,78804.0,51475.0
2022-08-01,2022,8,Groundnut,5502.0,15.91,100455.0,125.3,30692.0,87537.0,56845.0
2022-09-01,2022,9,Groundnut,5425.0,13.44,87528.0,58.3,32310.0,72912.0,40602.0
2022-10-01,2022,10,Groundnut,6086.0,12.73,87103.0,24.7,29345.0,77475.0,48130.0
2022-11-01,2022,11,Groundnut,6619.0,13.91,102524.0,0.0,26754.0,92070.0,65316.0
2022-12-01,2022,12,Groundnut,7165.0,11.89,86819.0,0.0,27164.0,85192.0,58028.0
2023-01-01,2023,1,Groundnut,7558.0,11.45,105547.0,0.0,25423.0,86539.0,61116.0
2023-02-01,2023,2,Groundnut,7754.0,13.6,102656.0,0.0,28202.0,105454.0,77252.0
2023-03-01,2023,3,Groundnut,7457.0,12.92,87034.0,0.0,24741.0,96344.0,71603.0
2023-04-01,2023,4,Groundnut,7143.0,14.33,87121.0,88.2,29104.0,102359.0,73255.0
2023-05-01,2023,5,Groundnut,6507.0,14.04,109666.0,93.2,32011.0,91358.0,59347.0
2023-06-01,2023,6,Groundnut,7031.0,15.01,94357.0,150.7,29435.0,105535.0,76100.0
2023-07-01,2023,7,Groundnut,6243.0,14.46,94266.0,124.9,27062.0,90274.0,63212.0
2023-08-01,2023,8,Groundnut,5967.0,13.84,105320.0,91.1,29054.0,82583.0,53529.0
2023-09-01,2023,9,Groundnut,6533.0,13.54,108681.0,58.8,31241.0,88457.0,57216.0
2023-10-01,2023,10,Groundnut,6025.0,12.79,109650.0,9.4,31141.0,77060.0,45919.0
2023-11-01,2023,11,Groundnut,7007.0,12.34,103834.0,0.0,25992.0,86466.0,60474.0
2023-12-01,2023,12,Groundnut,7258.0,12.56,94406.0,0.0,29021.0,91160.0,62139.0
2024-01-01,2024,1,Groundnut,7182.0,11.1,87088.0,0.0,27684.0,79720.0,52036.0
2024-02-01,2024,2,Groundnut,7763.0,13.5,104429.0,0.0,29613.0,104800.0,75188.0
2024-03-01,2024,3,Groundnut,8170.0,13.57,98960.0,18.5,28767.0,110867.0,82100.0
2024-04-01,2024,4,Groundnut,7939.0,13.9,95606.0,63.7,23261.0,110352.0,87091.0
2024-05-01,2024,5,Groundnut,7858.0,14.94,107659.0,116.7,27304.0,117399.0,90095.0
2024-06-01,2024,6,Groundnut,7065.0,15.34,87780.0,140.9,28397.0,108377.0,79980.0
2024-07-01,2024,7,Groundnut,7786.0,14.28,97316.0,120.0,25131.0,111184.0,86053.0
2024-08-01,2024,8,Groundnut,6088.0,14.12,85284.0,98.8,29162.0,85963.0,56801.0
2024-09-01,2024,9,Groundnut,6281.0,14.08,96717.0,42.7,24952.0,88436.0,63484.0
2024-10-01,2024,10,Groundnut,6618.0,13.57,86408.0,24.2,26403.0,89806.0,63403.0
2024-11-01,2024,11,Groundnut,6518.0,14.59,87970.0,0.0,30683.0,95098.0,64415.0
2024-12-01,2024,12,Groundnut,7819.0,14.28,87938.0,0.0,26232.0,111655.0,85423.0
2019-01-01,2019,1,Tomato,3456.0,29.57,9544.0,0.0,36722.0,102194.0,65472.0
2019-02-01,2019,2,Tomato,3893.0,26.73,10222.0,0.0,29739.0,104060.0,74321.0
2019-03-01,2019,3,Tomato,4362.0,27.84,9084.0,51.2,41244.0,121438.0,80194.0
2019-04-01,2019,4,Tomato,3059.0,27.4,11735.0,70.9,34086.0,83817.0,49731.0
2019-05-01,2019,5,Tomato,2483.0,30.16,7624.0,110.6,35286.0,74887.0,39601.0
2019-06-01,2019,6,Tomato,2198.0,24.94,7000.0,100.0,35537.0,54818.0,19281.0
2019-07-01,2019,7,Tomato,2582.0,29.53,11080.0,150.4,36823.0,76246.0,39423.0
2019-08-01,2019,8,Tomato,2170.0,29.31,6565.0,117.7,30442.0,63603.0,33161.0
2019-09-01,2019,9,Tomato,1863.0,26.59,11743.0,72.6,34984.0,49537.0,14553.0
2019-10-01,2019,10,Tomato,2718.0,29.76,5085.0,23.4,33024.0,80888.0,47864.0
2019-11-01,2019,11,Tomato,2971.0,26.17,11789.0,0.0,29931.0,77751.0,47820.0
2019-12-01,2019,12,Tomato,3876.0,28.54,5302.0,0.0,37961.0,110621.0,72660.0
2020-01-01,2020,1,Tomato,3059.0,32.77,11238.0,0.0,33943.0,100243.0,66300.0
2020-02-01,2020,2,Tomato,3395.0,25.4,8694.0,0.0,35728.0,86233.0,50505.0
2020-03-01,2020,3,Tomato,3271.0,28.18,11951.0,21.2,35540.0,92177.0,56637.0
2020-04-01,2020,4,Tomato,2430.0,28.1,5517.0,44.0,33995.0,68283.0,34288.0
2020-05-01,2020,5,Tomato,2879.0,28.48,8877.0,90.8,40925.0,81994.0,41069.0
2020-06-01,2020,6,Tomato,2423.0,31.57,11785.0,144.0,34858.0,76494.0,41636.0
2020-07-01,2020,7,Tomato,1971.0,31.65,8662.0,109.5,30326.0,62382.0,32056.0
2020-08-01,2020,8,Tomato,1732.0,30.73,9406.0,85.3,33799.0,53224.0,19425.0
2020-09-01,2020,9,Tomato,1400.0,27.8,9870.0,56.9,36499.0,38920.0,2421.0
2020-10-01,2020,10,Tomato,2095.0,32.26,8182.0,0.0,36598.0,67585.0,30987.0
2020-11-01,2020,11,Tomato,2596.0,25.2,9393.0,0.0,31737.0,65419.0,33682.0
2020-12-01,2020,12,Tomato,2834.0,26.45,9090.0,0.0,37788.0,74959.0,37171.0
2021-01-01,2021,1,Tomato,3509.0,28.48,11308.0,0.0,29711.0,99936.0,70225.0
2021-02-01,2021,2,Tomato,3941.0,28.57,5318.0,14.7,38432.0,112594.0,74162.0
2021-03-01,2021,3,Tomato,4590.0,29.15,6967.0,7.9,31042.0,133798.0,102756.0
2021-04-01,2021,4,Tomato,3430.0,32.32,11653.0,96.6,34321.0,110858.0,76537.0
2021-05-01,2021,5,Tomato,3040.0,29.39,11232.0,91.4,38194.0,89346.0,51152.0
2021-06-01,2021,6,Tomato,2435.0,29.92,8190.0,99.9,35359.0,72855.0,37496.0
2021-07-01,2021,7,Tomato,1400.0,28.91,9341.0,111.0,37450.0,40474.0,3024.0
2021-08-01,2021,8,Tomato,2016.0,31.01,6942.0,118.2,36856.0,62516.0,25660.0
2021-09-01,2021,9,Tomato,2182.0,28.5,6317.0,51.9,38859.0,62187.0,23328.0
2021-10-01,2021,10,Tomato,3717.0,27.73,8246.0,0.0,38187.0,103072.0,64885.0
2021-11-01,2021,11,Tomato,2851.0,29.19,7473.0,0.0,33639.0,83221.0,49582.0
2021-12-01,2021,12,Tomato,3566.0,30.02,9086.0,0.0,36899.0,107051.0,70152.0
2022-01-01,2022,1,Tomato,4088.0,24.58,5544.0,0.0,30420.0,100483.0,70063.0
2022-02-01,2022,2,Tomato,3670.0,28.9,11821.0,0.0,34826.0,106063.0,71237.0
2022-03-01,2022,3,Tomato,4734.0,28.62,11903.0,51.0,37455.0,135487.0,98032.0
2022-04-01,2022,4,Tomato,4234.0,31.24,9887.0,88.8,35402.0,132270.0,96868.0
2022-05-01,2022,5,Tomato,3823.0,29.41,8753.0,100.5,36340.0,112434.0,76094.0
2022-06-01,2022,6,Tomato,2534.0,32.2,7167.0,112.1,34360.0,81595.0,47235.0
2022-07-01,2022,7,Tomato,3366.0,28.93,10697.0,115.4,38387.0,97378.0,58991.0
2022-08-01,2022,8,Tomato,1844.0,26.48,9793.0,125.3,34759.0,48829.0,14070.0
2022-09-01,2022,9,Tomato,2961.0,30.99,6138.0,58.3,33604.0,91761.0,58157.0
2022-10-01,2022,10,Tomato,4097.0,27.31,11376.0,24.7,37660.0,111889.0,74229.0
2022-11-01,2022,11,Tomato,2968.0,25.71,10758.0,0.0,30785.0,76307.0,45522.0
2022-12-01,2022,12,Tomato,3648.0,28.4,11649.0,0.0,36503.0,103603.0,67100.0
2023-01-01,2023,1,Tomato,4335.0,27.98,10080.0,0.0,31873.0,121293.0,89420.0
2023-02-01,2023,2,Tomato,4183.0,29.77,9294.0,0.0,38834.0,124528.0,85694.0
2023-03-01,2023,3,Tomato,3567.0,29.9,7928.0,0.0,34217.0,106653.0,72436.0
2023-04-01,2023,4,Tomato,4073.0,29.89,11529.0,88.2,35405.0,121742.0,86337.0
2023-05-01,2023,5,Tomato,3076.0,28.33,11062.0,93.2,36238.0,87143.0,50905.0
2023-06-01,2023,6,Tomato,3405.0,31.17,5317.0,150.7,29211.0,106134.0,76923.0
2023-07-01,2023,7,Tomato,2385.0,30.58,5185.0,124.9,33048.0,72933.0,39885.0
2023-08-01,2023,8,Tomato,3500.0,30.76,7635.0,91.1,38131.0,107660.0,69529.0
2023-09-01,2023,9,Tomato,2456.0,27.86,10674.0,58.8,37603.0,68424.0,30821.0
2023-10-01,2023,10,Tomato,3021.0,27.92,11911.0,9.4,35849.0,84346.0,48497.0
2023-11-01,2023,11,Tomato,4050.0,29.32,6053.0,0.0,30952.0,118746.0,87794.0
2023-12-01,2023,12,Tomato,3496.0,30.57,9159.0,0.0,36757.0,106873.0,70116.0
2024-01-01,2024,1,Tomato,4579.0,30.1,7666.0,0.0,37140.0,137828.0,100688.0
2024-02-01,2024,2,Tomato,5268.0,28.63,11789.0,0.0,35141.0,150823.0,115682.0
2024-03-01,2024,3,Tomato,3719.0,27.95,10895.0,18.5,38670.0,103946.0,65276.0
2024-04-01,2024,4,Tomato,4311.0,30.14,10868.0,63.7,32950.0,129934.0,96984.0
2024-05-01,2024,5,Tomato,3917.0,28.43,8281.0,116.7,33470.0,111360.0,77890.0
2024-06-01,2024,6,Tomato,3740.0,29.26,7904.0,140.9,27546.0,109432.0,81886.0
2024-07-01,2024,7,Tomato,2406.0,32.86,6914.0,120.0,37759.0,79061.0,41302.0
2024-08-01,2024,8,Tomato,2245.0,30.69,5395.0,98.8,35942.0,68899.0,32957.0
2024-09-01,2024,9,Tomato,3288.0,28.6,11053.0,42.7,29955.0,94037.0,64082.0
2024-10-01,2024,10,Tomato,3510.0,30.31,10690.0,24.2,29724.0,106388.0,76664.0
2024-11-01,2024,11,Tomato,3948.0,30.72,11998.0,0.0,32382.0,121283.0,88901.0
2024-12-01,2024,12,Tomato,4465.0,27.82,11976.0,0.0,37381.0,124216.0,86835.0
2019-01-01,2019,1,Cotton,6839.0,7.99,23331.0,0.0,27249.0,54644.0,27395.0
2019-02-01,2019,2,Cotton,7051.0,7.94,26535.0,0.0,25988.0,55985.0,29997.0
2019-03-01,2019,3,Cotton,6744.0,9.46,29171.0,51.2,25485.0,63798.0,38313.0
2019-04-01,2019,4,Cotton,6119.0,9.77,27745.0,70.9,25373.0,59783.0,34410.0
2019-05-01,2019,5,Cotton,6473.0,10.57,18710.0,110.6,23166.0,68420.0,45254.0
2019-06-01,2019,6,Cotton,6307.0,10.24,21758.0,100.0,24982.0,64584.0,39602.0
2019-07-01,2019,7,Cotton,6010.0,9.7,16937.0,150.4,25324.0,58297.0,32973.0
2019-08-01,2019,8,Cotton,5559.0,10.16,29311.0,117.7,29707.0,56479.0,26772.0
2019-09-01,2019,9,Cotton,5795.0,8.83,24093.0,72.6,27586.0,51170.0,23584.0
2019-10-01,2019,10,Cotton,5984.0,8.37,18430.0,23.4,25936.0,50086.0,24150.0
2019-11-01,2019,11,Cotton,6856.0,8.36,25076.0,0.0,33774.0,57316.0,23542.0
2019-12-01,2019,12,Cotton,7299.0,8.7,24272.0,0.0,26340.0,63501.0,37161.0
2020-01-01,2020,1,Cotton,6510.0,7.86,20372.0,0.0,30918.0,51169.0,20251.0
2020-02-01,2020,2,Cotton,6693.0,7.16,16703.0,0.0,32053.0,47922.0,15869.0
2020-03-01,2020,3,Cotton,6068.0,8.72,25074.0,21.2,24075.0,52913.0,28838.0
2020-04-01,2020,4,Cotton,6117.0,10.28,22805.0,44.0,28185.0,62883.0,34698.0
2020-05-01,2020,5,Cotton,5412.0,9.59,26585.0,90.8,26706.0,51901.0,25195.0
2020-06-01,2020,6,Cotton,5336.0,10.52,22802.0,144.0,26503.0,56135.0,29632.0
2020-07-01,2020,7,Cotton,5667.0,10.86,27783.0,109.5,29388.0,61544.0,32156.0
2020-08-01,2020,8,Cotton,5376.0,9.92,23279.0,85.3,26443.0,53330.0,26887.0
2020-09-01,2020,9,Cotton,5960.0,9.32,23414.0,56.9,26760.0,55547.0,28787.0
2020-10-01,2020,10,Cotton,6067.0,8.59,28150.0,0.0,27580.0,52116.0,24536.0
2020-11-01,2020,11,Cotton,7022.0,8.5,21052.0,0.0,27067.0,59687.0,32620.0
2020-12-01,2020,12,Cotton,6586.0,7.82,17010.0,0.0,25066.0,51503.0,26437.0
2021-01-01,2021,1,Cotton,6358.0,7.73,15432.0,0.0,29990.0,49147.0,19157.0
2021-02-01,2021,2,Cotton,6780.0,9.55,26327.0,14.7,30621.0,64749.0,34128.0
2021-03-01,2021,3,Cotton,6401.0,8.62,24305.0,7.9,28859.0,55177.0,26318.0
2021-04-01,2021,4,Cotton,6709.0,9.91,25561.0,96.6,27059.0,66486.0,39427.0
2021-05-01,2021,5,Cotton,6167.0,9.75,18194.0,91.4,26237.0,60128.0,33891.0
2021-06-01,2021,6,Cotton,5874.0,10.31,17046.0,99.9,26241.0,60561.0,34320.0
2021-07-01,2021,7,Cotton,5746.0,11.35,15218.0,111.0,33893.0,65217.0,31324.0
2021-08-01,2021,8,Cotton,6010.0,10.48,20259.0,118.2,30345.0,62985.0,32640.0
2021-09-01,2021,9,Cotton,5855.0,8.95,23849.0,51.9,25900.0,52402.0,26502.0
2021-10-01,2021,10,Cotton,6494.0,8.4,20884.0,0.0,28412.0,54550.0,26138.0
2021-11-01,2021,11,Cotton,6910.0,9.0,21562.0,0.0,27094.0,62190.0,35096.0
2021-12-01,2021,12,Cotton,6824.0,8.19,28562.0,0.0,29460.0,55889.0,26429.0
2022-01-01,2022,1,Cotton,7596.0,8.91,20224.0,0.0,29359.0,67680.0,38321.0
2022-02-01,2022,2,Cotton,7750.0,7.35,22710.0,0.0,30709.0,56962.0,26254.0
2022-03-01,2022,3,Cotton,7974.0,9.16,26755.0,51.0,25874.0,73042.0,47168.0
2022-04-01,2022,4,Cotton,7566.0,10.15,20948.0,88.8,28262.0,76795.0,48533.0
2022-05-01,2022,5,Cotton,7436.0,10.65,24331.0,100.5,23629.0,79193.0,55564.0
2022-06-01,2022,6,Cotton,7510.0,9.81,27935.0,112.1,24857.0,73673.0,48816.0
2022-07-01,2022,7,Cotton,6949.0,9.53,29243.0,115.4,30210.0,66224.0,36014.0
2022-08-01,2022,8,Cotton,6680.0,10.3,17206.0,125.3,25623.0,68804.0,43181.0
2022-09-01,2022,9,Cotton,7381.0,8.87,28899.0,58.3,25898.0,65469.0,39571.0
2022-10-01,2022,10,Cotton,7395.0,8.86,22382.0,24.7,27979.0,65520.0,37541.0
2022-11-01,2022,11,Cotton,7965.0,8.56,18874.0,0.0,29737.0,68180.0,38443.0
2022-12-01,2022,12,Cotton,8322.0,7.93,21887.0,0.0,25348.0,65993.0,40645.0
2023-01-01,2023,1,Cotton,7947.0,8.98,29700.0,0.0,19298.0,71364.0,52066.0
2023-02-01,2023,2,Cotton,8640.0,8.51,22389.0,0.0,25824.0,73526.0,47702.0
2023-03-01,2023,3,Cotton,8388.0,9.13,19931.0,0.0,31014.0,76582.0,45568.0
2023-04-01,2023,4,Cotton,7731.0,9.02,24501.0,88.2,28858.0,69734.0,40876.0
2023-05-01,2023,5,Cotton,7704.0,9.51,18602.0,93.2,31310.0,73265.0,41955.0
2023-06-01,2023,6,Cotton,7448.0,11.14,16138.0,150.7,25170.0,82971.0,57801.0
2023-07-01,2023,7,Cotton,7251.0,10.11,16933.0,124.9,23902.0,73308.0,49406.0
2023-08-01,2023,8,Cotton,7511.0,9.93,16921.0,91.1,29156.0,74584.0,45428.0
2023-09-01,2023,9,Cotton,7848.0,9.53,17279.0,58.8,28600.0,74791.0,46191.0
2023-10-01,2023,10,Cotton,7742.0,8.87,17082.0,9.4,28764.0,68672.0,39908.0
2023-11-01,2023,11,Cotton,8453.0,8.33,24613.0,0.0,30332.0,70413.0,40081.0
2023-12-01,2023,12,Cotton,8660.0,8.75,17728.0,0.0,29054.0,75775.0,46721.0
2024-01-01,2024,1,Cotton,8641.0,8.29,20185.0,0.0,29014.0,71634.0,42620.0
2024-02-01,2024,2,Cotton,8663.0,9.02,28452.0,0.0,29788.0,78140.0,48352.0
2024-03-01,2024,3,Cotton,8172.0,8.92,22109.0,18.5,29256.0,72894.0,43638.0
2024-04-01,2024,4,Cotton,7839.0,9.74,25013.0,63.7,30144.0,76352.0,46208.0
2024-05-01,2024,5,Cotton,8025.0,11.73,17585.0,116.7,30521.0,94133.0,63612.0
2024-06-01,2024,6,Cotton,7497.0,10.29,17884.0,140.9,31829.0,77144.0,45315.0
2024-07-01,2024,7,Cotton,7593.0,11.21,15613.0,120.0,26377.0,85118.0,58741.0
2024-08-01,2024,8,Cotton,7477.0,8.91,17534.0,98.8,29201.0,66620.0,37419.0
2024-09-01,2024,9,Cotton,7305.0,8.36,19179.0,42.7,27074.0,61070.0,33996.0
2024-10-01,2024,10,Cotton,8200.0,8.5,17655.0,24.2,25916.0,69700.0,43784.0
2024-11-01,2024,11,Cotton,8325.0,8.18,16331.0,0.0,26276.0,68098.0,41822.0
2024-12-01,2024,12,Cotton,8766.0,8.87,16810.0,0.0,29237.0,77754.0,48517.0
